dataset,model,seed,test_auc,test_acc,hidden,num_bases,dropout,lr,weight_decay,patience,max_epochs,num_classes
MUTAG,rgcn,0,0.8333333333333334,0.6842105263157895,64,8,0.3,0.001,0.0005,30,200,2
MUTAG,rgcn,1,0.5595238095238095,0.631578947368421,64,8,0.3,0.001,0.0005,30,200,2
MUTAG,rgcn,2,0.5833333333333334,0.5263157894736842,64,8,0.3,0.001,0.0005,30,200,2
MUTAG,rgcn,3,0.7976190476190476,0.7368421052631579,64,8,0.3,0.001,0.0005,30,200,2
MUTAG,rgcn,4,0.5833333333333334,0.47368421052631576,64,8,0.3,0.001,0.0005,30,200,2
