dataset,model,seed,test_auc,test_acc,hidden,num_bases,dropout,lr,weight_decay,patience,max_epochs,num_classes
PROTEINS,rgcn,0,0.7890547263681591,0.75,64,8,0.3,0.001,0.0005,30,200,2
PROTEINS,rgcn,1,0.8159203980099503,0.7410714285714286,64,8,0.3,0.001,0.0005,30,200,2
PROTEINS,rgcn,2,0.8102819237147595,0.7589285714285714,64,8,0.3,0.001,0.0005,30,200,2
PROTEINS,rgcn,3,0.7824212271973465,0.7053571428571429,64,8,0.3,0.001,0.0005,30,200,2
PROTEINS,rgcn,4,0.8202321724709785,0.7053571428571429,64,8,0.3,0.001,0.0005,30,200,2
