dataset,model,seed,test_auc,test_acc,hidden,num_bases,dropout,lr,weight_decay,patience,max_epochs,num_layers,pool_ratio,attn_pool,num_classes
PROTEINS,hinpool,0,0.7930348258706468,0.7589285714285714,64,8,0.3,0.001,0.0005,30,200,3,0.9,False,2
PROTEINS,hinpool,1,0.7774461028192372,0.75,64,8,0.3,0.001,0.0005,30,200,3,0.9,False,2
PROTEINS,hinpool,2,0.7827529021558872,0.75,64,8,0.3,0.001,0.0005,30,200,3,0.9,False,2
PROTEINS,hinpool,3,0.7767827529021559,0.7232142857142857,64,8,0.3,0.001,0.0005,30,200,3,0.9,False,2
PROTEINS,hinpool,4,0.774792703150912,0.7589285714285714,64,8,0.3,0.001,0.0005,30,200,3,0.9,False,2
