INFO probing 16 findings
INFO probes | test shards=[2, 3] | 22 samples (0 done)
INFO   [  1/ 22] 002  16/16 probes  | ETA 0.12h
INFO   [  2/ 22] 003  16/16 probes  | ETA 0.09h
INFO   [  3/ 22] 016  16/16 probes  | ETA 0.07h
INFO   [  4/ 22] 017  16/16 probes  | ETA 0.06h
INFO   [  5/ 22] 030  16/16 probes  | ETA 0.06h
INFO   [  6/ 22] 031  16/16 probes  | ETA 0.05h
INFO   [  7/ 22] 044  16/16 probes  | ETA 0.05h
INFO   [  8/ 22] 045  16/16 probes  | ETA 0.04h
INFO   [  9/ 22] 058  16/16 probes  | ETA 0.04h
INFO   [ 10/ 22] 059  16/16 probes  | ETA 0.03h
INFO   [ 11/ 22] 072  16/16 probes  | ETA 0.03h
INFO   [ 12/ 22] 073  16/16 probes  | ETA 0.03h
INFO   [ 13/ 22] 086  16/16 probes  | ETA 0.02h
INFO   [ 14/ 22] 087  16/16 probes  | ETA 0.02h
INFO   [ 15/ 22] 100  16/16 probes  | ETA 0.02h
INFO   [ 16/ 22] 101  16/16 probes  | ETA 0.02h
INFO   [ 17/ 22] 114  16/16 probes  | ETA 0.01h
INFO   [ 18/ 22] 115  16/16 probes  | ETA 0.01h
INFO   [ 19/ 22] 128  16/16 probes  | ETA 0.01h
INFO   [ 20/ 22] 129  16/16 probes  | ETA 0.01h
INFO   [ 21/ 22] 142  16/16 probes  | ETA 0.00h
INFO   [ 22/ 22] 143  16/16 probes  | ETA 0.00h
INFO Done in 3.5 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probep3_test_2-3.jsonl
INFO probing 16 findings
INFO probes | val shards=[2, 3] | 12 samples (0 done)
INFO   [  1/ 12] 002  16/16 probes  | ETA 0.03h
INFO   [  2/ 12] 003  16/16 probes  | ETA 0.02h
INFO   [  3/ 12] 016  16/16 probes  | ETA 0.02h
INFO   [  4/ 12] 017  16/16 probes  | ETA 0.02h
INFO   [  5/ 12] 030  16/16 probes  | ETA 0.02h
INFO   [  6/ 12] 031  16/16 probes  | ETA 0.01h
INFO   [  7/ 12] 044  16/16 probes  | ETA 0.01h
INFO   [  8/ 12] 045  16/16 probes  | ETA 0.01h
INFO   [  9/ 12] 058  16/16 probes  | ETA 0.01h
INFO   [ 10/ 12] 059  16/16 probes  | ETA 0.00h
INFO   [ 11/ 12] 072  16/16 probes  | ETA 0.00h
INFO   [ 12/ 12] 073  16/16 probes  | ETA 0.00h
INFO Done in 1.8 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probep3_val_2-3.jsonl
INFO probing 16 findings
INFO probes | train shards=[2, 3] | 78 samples (0 done)
INFO   [  1/ 78] 002  16/16 probes  | ETA 0.19h
INFO   [  2/ 78] 003  16/16 probes  | ETA 0.18h
INFO   [  3/ 78] 016  16/16 probes  | ETA 0.18h
INFO   [  4/ 78] 017  16/16 probes  | ETA 0.18h
INFO   [  5/ 78] 030  16/16 probes  | ETA 0.18h
INFO   [  6/ 78] 031  16/16 probes  | ETA 0.17h
INFO   [  7/ 78] 044  16/16 probes  | ETA 0.17h
INFO   [  8/ 78] 045  16/16 probes  | ETA 0.17h
INFO   [  9/ 78] 058  16/16 probes  | ETA 0.17h
INFO   [ 10/ 78] 059  16/16 probes  | ETA 0.16h
INFO   [ 11/ 78] 072  16/16 probes  | ETA 0.16h
INFO   [ 12/ 78] 073  16/16 probes  | ETA 0.16h
INFO   [ 13/ 78] 086  16/16 probes  | ETA 0.16h
INFO   [ 14/ 78] 087  16/16 probes  | ETA 0.16h
INFO   [ 15/ 78] 100  16/16 probes  | ETA 0.15h
INFO   [ 16/ 78] 101  16/16 probes  | ETA 0.15h
INFO   [ 17/ 78] 114  16/16 probes  | ETA 0.15h
INFO   [ 18/ 78] 115  16/16 probes  | ETA 0.15h
INFO   [ 19/ 78] 128  16/16 probes  | ETA 0.14h
INFO   [ 20/ 78] 129  16/16 probes  | ETA 0.14h
INFO   [ 21/ 78] 142  16/16 probes  | ETA 0.14h
INFO   [ 22/ 78] 143  16/16 probes  | ETA 0.14h
INFO   [ 23/ 78] 156  16/16 probes  | ETA 0.13h
INFO   [ 24/ 78] 157  16/16 probes  | ETA 0.13h
INFO   [ 25/ 78] 170  16/16 probes  | ETA 0.13h
INFO   [ 26/ 78] 171  16/16 probes  | ETA 0.13h
INFO   [ 27/ 78] 184  16/16 probes  | ETA 0.12h
INFO   [ 28/ 78] 185  16/16 probes  | ETA 0.12h
INFO   [ 29/ 78] 198  16/16 probes  | ETA 0.12h
INFO   [ 30/ 78] 199  16/16 probes  | ETA 0.12h
INFO   [ 31/ 78] 212  16/16 probes  | ETA 0.11h
INFO   [ 32/ 78] 213  16/16 probes  | ETA 0.11h
INFO   [ 33/ 78] 226  16/16 probes  | ETA 0.11h
INFO   [ 34/ 78] 227  16/16 probes  | ETA 0.11h
INFO   [ 35/ 78] 240  16/16 probes  | ETA 0.10h
INFO   [ 36/ 78] 241  16/16 probes  | ETA 0.10h
INFO   [ 37/ 78] 254  16/16 probes  | ETA 0.10h
INFO   [ 38/ 78] 255  16/16 probes  | ETA 0.10h
INFO   [ 39/ 78] 268  16/16 probes  | ETA 0.10h
INFO   [ 40/ 78] 269  16/16 probes  | ETA 0.09h
INFO   [ 41/ 78] 282  16/16 probes  | ETA 0.09h
INFO   [ 42/ 78] 283  16/16 probes  | ETA 0.09h
INFO   [ 43/ 78] 296  16/16 probes  | ETA 0.09h
INFO   [ 44/ 78] 297  16/16 probes  | ETA 0.08h
INFO   [ 45/ 78] 310  16/16 probes  | ETA 0.08h
INFO   [ 46/ 78] 311  16/16 probes  | ETA 0.08h
INFO   [ 47/ 78] 324  16/16 probes  | ETA 0.08h
INFO   [ 48/ 78] 325  16/16 probes  | ETA 0.07h
INFO   [ 49/ 78] 338  16/16 probes  | ETA 0.07h
INFO   [ 50/ 78] 339  16/16 probes  | ETA 0.07h
INFO   [ 51/ 78] 352  16/16 probes  | ETA 0.07h
INFO   [ 52/ 78] 353  16/16 probes  | ETA 0.06h
INFO   [ 53/ 78] 366  16/16 probes  | ETA 0.06h
INFO   [ 54/ 78] 367  16/16 probes  | ETA 0.06h
INFO   [ 55/ 78] 380  16/16 probes  | ETA 0.06h
INFO   [ 56/ 78] 381  16/16 probes  | ETA 0.05h
INFO   [ 57/ 78] 394  16/16 probes  | ETA 0.05h
INFO   [ 58/ 78] 395  16/16 probes  | ETA 0.05h
INFO   [ 59/ 78] 408  16/16 probes  | ETA 0.05h
INFO   [ 60/ 78] 409  16/16 probes  | ETA 0.04h
INFO   [ 61/ 78] 422  16/16 probes  | ETA 0.04h
INFO   [ 62/ 78] 423  16/16 probes  | ETA 0.04h
INFO   [ 63/ 78] 436  16/16 probes  | ETA 0.04h
INFO   [ 64/ 78] 437  16/16 probes  | ETA 0.03h
INFO   [ 65/ 78] 450  16/16 probes  | ETA 0.03h
INFO   [ 66/ 78] 451  16/16 probes  | ETA 0.03h
INFO   [ 67/ 78] 464  16/16 probes  | ETA 0.03h
INFO   [ 68/ 78] 465  16/16 probes  | ETA 0.02h
INFO   [ 69/ 78] 478  16/16 probes  | ETA 0.02h
INFO   [ 70/ 78] 479  16/16 probes  | ETA 0.02h
INFO   [ 71/ 78] 492  16/16 probes  | ETA 0.02h
INFO   [ 72/ 78] 493  16/16 probes  | ETA 0.01h
