INFO probing 16 findings
INFO probes | train shards=[8] | 39 samples (0 done)
INFO   [  1/ 39] 008  16/16 probes  | ETA 0.09h
INFO   [  2/ 39] 022  16/16 probes  | ETA 0.09h
INFO   [  3/ 39] 036  16/16 probes  | ETA 0.09h
INFO   [  4/ 39] 050  16/16 probes  | ETA 0.08h
INFO   [  5/ 39] 064  16/16 probes  | ETA 0.08h
INFO   [  6/ 39] 078  16/16 probes  | ETA 0.08h
INFO   [  7/ 39] 092  16/16 probes  | ETA 0.08h
INFO   [  8/ 39] 106  16/16 probes  | ETA 0.07h
INFO   [  9/ 39] 120  16/16 probes  | ETA 0.07h
INFO   [ 10/ 39] 134  16/16 probes  | ETA 0.07h
INFO   [ 11/ 39] 148  16/16 probes  | ETA 0.07h
INFO   [ 12/ 39] 162  16/16 probes  | ETA 0.07h
INFO   [ 13/ 39] 176  16/16 probes  | ETA 0.06h
INFO   [ 14/ 39] 190  16/16 probes  | ETA 0.06h
INFO   [ 15/ 39] 204  16/16 probes  | ETA 0.06h
INFO   [ 16/ 39] 218  16/16 probes  | ETA 0.06h
INFO   [ 17/ 39] 232  16/16 probes  | ETA 0.05h
INFO   [ 18/ 39] 246  16/16 probes  | ETA 0.05h
INFO   [ 19/ 39] 260  16/16 probes  | ETA 0.05h
INFO   [ 20/ 39] 274  16/16 probes  | ETA 0.05h
INFO   [ 21/ 39] 288  16/16 probes  | ETA 0.04h
INFO   [ 22/ 39] 302  16/16 probes  | ETA 0.04h
INFO   [ 23/ 39] 316  16/16 probes  | ETA 0.04h
INFO   [ 24/ 39] 330  16/16 probes  | ETA 0.04h
INFO   [ 25/ 39] 344  16/16 probes  | ETA 0.03h
INFO   [ 26/ 39] 358  16/16 probes  | ETA 0.03h
INFO   [ 27/ 39] 372  16/16 probes  | ETA 0.03h
INFO   [ 28/ 39] 386  16/16 probes  | ETA 0.03h
INFO   [ 29/ 39] 400  16/16 probes  | ETA 0.02h
INFO   [ 30/ 39] 414  16/16 probes  | ETA 0.02h
INFO   [ 31/ 39] 428  16/16 probes  | ETA 0.02h
INFO   [ 32/ 39] 442  16/16 probes  | ETA 0.02h
INFO   [ 33/ 39] 456  16/16 probes  | ETA 0.01h
INFO   [ 34/ 39] 470  16/16 probes  | ETA 0.01h
INFO   [ 35/ 39] 484  16/16 probes  | ETA 0.01h
INFO   [ 36/ 39] 498  16/16 probes  | ETA 0.01h
INFO   [ 37/ 39] 512  16/16 probes  | ETA 0.00h
INFO   [ 38/ 39] 526  16/16 probes  | ETA 0.00h
INFO   [ 39/ 39] 540  16/16 probes  | ETA 0.00h
INFO Done in 5.7 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probep4_train_8.jsonl
