INFO probing 16 findings
INFO probes | test shards=[4, 5] | 22 samples (0 done)
INFO   [  1/ 22] 004  16/16 probes  | ETA 0.09h
INFO   [  2/ 22] 005  16/16 probes  | ETA 0.06h
INFO   [  3/ 22] 018  16/16 probes  | ETA 0.05h
INFO   [  4/ 22] 019  16/16 probes  | ETA 0.05h
INFO   [  5/ 22] 032  16/16 probes  | ETA 0.04h
INFO   [  6/ 22] 033  16/16 probes  | ETA 0.04h
INFO   [  7/ 22] 046  16/16 probes  | ETA 0.04h
INFO   [  8/ 22] 047  16/16 probes  | ETA 0.04h
INFO   [  9/ 22] 060  16/16 probes  | ETA 0.03h
INFO   [ 10/ 22] 061  16/16 probes  | ETA 0.03h
INFO   [ 11/ 22] 074  16/16 probes  | ETA 0.03h
INFO   [ 12/ 22] 075  16/16 probes  | ETA 0.03h
INFO   [ 13/ 22] 088  16/16 probes  | ETA 0.02h
INFO   [ 14/ 22] 089  16/16 probes  | ETA 0.02h
INFO   [ 15/ 22] 102  16/16 probes  | ETA 0.02h
INFO   [ 16/ 22] 103  16/16 probes  | ETA 0.01h
INFO   [ 17/ 22] 116  16/16 probes  | ETA 0.01h
INFO   [ 18/ 22] 117  16/16 probes  | ETA 0.01h
INFO   [ 19/ 22] 130  16/16 probes  | ETA 0.01h
INFO   [ 20/ 22] 131  16/16 probes  | ETA 0.00h
INFO   [ 21/ 22] 144  16/16 probes  | ETA 0.00h
INFO   [ 22/ 22] 145  16/16 probes  | ETA 0.00h
INFO Done in 3.2 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probep3_test_4-5.jsonl
INFO probing 16 findings
INFO probes | val shards=[4, 5] | 12 samples (0 done)
INFO   [  1/ 12] 004  16/16 probes  | ETA 0.03h
INFO   [  2/ 12] 005  16/16 probes  | ETA 0.02h
INFO   [  3/ 12] 018  16/16 probes  | ETA 0.02h
INFO   [  4/ 12] 019  16/16 probes  | ETA 0.02h
INFO   [  5/ 12] 032  16/16 probes  | ETA 0.02h
INFO   [  6/ 12] 033  16/16 probes  | ETA 0.01h
INFO   [  7/ 12] 046  16/16 probes  | ETA 0.01h
INFO   [  8/ 12] 047  16/16 probes  | ETA 0.01h
INFO   [  9/ 12] 060  16/16 probes  | ETA 0.01h
INFO   [ 10/ 12] 061  16/16 probes  | ETA 0.00h
INFO   [ 11/ 12] 074  16/16 probes  | ETA 0.00h
INFO   [ 12/ 12] 075  16/16 probes  | ETA 0.00h
INFO Done in 1.7 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probep3_val_4-5.jsonl
INFO probing 16 findings
INFO probes | train shards=[4, 5] | 78 samples (0 done)
INFO   [  1/ 78] 004  16/16 probes  | ETA 0.18h
INFO   [  2/ 78] 005  16/16 probes  | ETA 0.18h
INFO   [  3/ 78] 018  16/16 probes  | ETA 0.18h
INFO   [  4/ 78] 019  16/16 probes  | ETA 0.18h
INFO   [  5/ 78] 032  16/16 probes  | ETA 0.18h
INFO   [  6/ 78] 033  16/16 probes  | ETA 0.17h
INFO   [  7/ 78] 046  16/16 probes  | ETA 0.17h
INFO   [  8/ 78] 047  16/16 probes  | ETA 0.17h
INFO   [  9/ 78] 060  16/16 probes  | ETA 0.17h
INFO   [ 10/ 78] 061  16/16 probes  | ETA 0.16h
