INFO probing 16 findings
INFO probes | all shards=[7] | 78 samples (0 done)
INFO   [  1/ 78] 007  16/16 probes  | ETA 0.13h
INFO   [  2/ 78] 031  16/16 probes  | ETA 0.13h
INFO   [  3/ 78] 055  16/16 probes  | ETA 0.13h
INFO   [  4/ 78] 079  16/16 probes  | ETA 0.13h
INFO   [  5/ 78] 103  16/16 probes  | ETA 0.14h
INFO   [  6/ 78] 127  16/16 probes  | ETA 0.14h
INFO   [  7/ 78] 151  16/16 probes  | ETA 0.15h
INFO   [  8/ 78] 175  16/16 probes  | ETA 0.15h
INFO   [  9/ 78] 199  16/16 probes  | ETA 0.15h
INFO   [ 10/ 78] 223  16/16 probes  | ETA 0.15h
INFO   [ 11/ 78] 247  16/16 probes  | ETA 0.15h
INFO   [ 12/ 78] 271  16/16 probes  | ETA 0.15h
INFO   [ 13/ 78] 295  16/16 probes  | ETA 0.15h
INFO   [ 14/ 78] 319  16/16 probes  | ETA 0.15h
INFO   [ 15/ 78] 343  16/16 probes  | ETA 0.15h
INFO   [ 16/ 78] 367  16/16 probes  | ETA 0.14h
INFO   [ 17/ 78] 391  16/16 probes  | ETA 0.14h
INFO   [ 18/ 78] 415  16/16 probes  | ETA 0.14h
INFO   [ 19/ 78] 439  16/16 probes  | ETA 0.14h
INFO   [ 20/ 78] 463  16/16 probes  | ETA 0.14h
INFO   [ 21/ 78] 487  16/16 probes  | ETA 0.14h
INFO   [ 22/ 78] 511  16/16 probes  | ETA 0.13h
INFO   [ 23/ 78] 535  16/16 probes  | ETA 0.13h
INFO   [ 24/ 78] 559  16/16 probes  | ETA 0.13h
INFO   [ 25/ 78] 583  16/16 probes  | ETA 0.13h
INFO   [ 26/ 78] 607  16/16 probes  | ETA 0.12h
INFO   [ 27/ 78] 631  16/16 probes  | ETA 0.12h
INFO   [ 28/ 78] 655  16/16 probes  | ETA 0.12h
INFO   [ 29/ 78] 679  16/16 probes  | ETA 0.12h
INFO   [ 30/ 78] 703  16/16 probes  | ETA 0.12h
INFO   [ 31/ 78] 727  16/16 probes  | ETA 0.11h
INFO   [ 32/ 78] 751  16/16 probes  | ETA 0.11h
INFO   [ 33/ 78] 775  16/16 probes  | ETA 0.11h
INFO   [ 34/ 78] 799  16/16 probes  | ETA 0.11h
INFO   [ 35/ 78] 823  16/16 probes  | ETA 0.10h
INFO   [ 36/ 78] 847  16/16 probes  | ETA 0.10h
INFO   [ 37/ 78] 871  16/16 probes  | ETA 0.10h
INFO   [ 38/ 78] 895  16/16 probes  | ETA 0.10h
INFO   [ 39/ 78] 919  16/16 probes  | ETA 0.10h
INFO   [ 40/ 78] 943  16/16 probes  | ETA 0.09h
INFO   [ 41/ 78] 967  16/16 probes  | ETA 0.09h
INFO   [ 42/ 78] 991  16/16 probes  | ETA 0.09h
INFO   [ 43/ 78] 1015  16/16 probes  | ETA 0.09h
INFO   [ 44/ 78] 1039  16/16 probes  | ETA 0.08h
INFO   [ 45/ 78] 1063  16/16 probes  | ETA 0.08h
INFO   [ 46/ 78] 1087  16/16 probes  | ETA 0.08h
INFO   [ 47/ 78] 1111  16/16 probes  | ETA 0.08h
INFO   [ 48/ 78] 1135  16/16 probes  | ETA 0.07h
INFO   [ 49/ 78] 1159  16/16 probes  | ETA 0.07h
INFO   [ 50/ 78] 1183  16/16 probes  | ETA 0.07h
INFO   [ 51/ 78] 1207  16/16 probes  | ETA 0.07h
INFO   [ 52/ 78] 1231  16/16 probes  | ETA 0.06h
INFO   [ 53/ 78] 1255  16/16 probes  | ETA 0.06h
INFO   [ 54/ 78] 1279  16/16 probes  | ETA 0.06h
INFO   [ 55/ 78] 1303  16/16 probes  | ETA 0.06h
INFO   [ 56/ 78] 1327  16/16 probes  | ETA 0.05h
INFO   [ 57/ 78] 1351  16/16 probes  | ETA 0.05h
INFO   [ 58/ 78] 1375  16/16 probes  | ETA 0.05h
INFO   [ 59/ 78] 1399  16/16 probes  | ETA 0.05h
INFO   [ 60/ 78] 1423  16/16 probes  | ETA 0.04h
INFO   [ 61/ 78] 1447  16/16 probes  | ETA 0.04h
INFO   [ 62/ 78] 1471  16/16 probes  | ETA 0.04h
INFO   [ 63/ 78] 1495  16/16 probes  | ETA 0.04h
INFO   [ 64/ 78] 1519  16/16 probes  | ETA 0.03h
INFO   [ 65/ 78] 1543  16/16 probes  | ETA 0.03h
INFO   [ 66/ 78] 1567  16/16 probes  | ETA 0.03h
INFO   [ 67/ 78] 1591  16/16 probes  | ETA 0.03h
INFO   [ 68/ 78] 1615  16/16 probes  | ETA 0.02h
INFO   [ 69/ 78] 1639  16/16 probes  | ETA 0.02h
INFO   [ 70/ 78] 1663  16/16 probes  | ETA 0.02h
INFO   [ 71/ 78] 1687  16/16 probes  | ETA 0.02h
INFO   [ 72/ 78] 1711  16/16 probes  | ETA 0.01h
INFO   [ 73/ 78] 1735  16/16 probes  | ETA 0.01h
INFO   [ 74/ 78] 1759  16/16 probes  | ETA 0.01h
INFO   [ 75/ 78] 1783  16/16 probes  | ETA 0.01h
INFO   [ 76/ 78] 1807  16/16 probes  | ETA 0.00h
INFO   [ 77/ 78] 1831  16/16 probes  | ETA 0.00h
INFO   [ 78/ 78] 1855  16/16 probes  | ETA 0.00h
INFO Done in 11.6 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/23_masktest/results/bbase_p3_all_7.jsonl
