INFO probing 16 findings
INFO probes | all shards=[19] | 78 samples (0 done)
INFO   [  1/ 78] 019  16/16 probes  | ETA 0.19h
INFO   [  2/ 78] 043  16/16 probes  | ETA 0.19h
INFO   [  3/ 78] 067  16/16 probes  | ETA 0.19h
INFO   [  4/ 78] 091  16/16 probes  | ETA 0.19h
INFO   [  5/ 78] 115  16/16 probes  | ETA 0.18h
INFO   [  6/ 78] 139  16/16 probes  | ETA 0.18h
INFO   [  7/ 78] 163  16/16 probes  | ETA 0.18h
INFO   [  8/ 78] 187  16/16 probes  | ETA 0.18h
INFO   [  9/ 78] 211  16/16 probes  | ETA 0.17h
INFO   [ 10/ 78] 235  16/16 probes  | ETA 0.17h
INFO   [ 11/ 78] 259  16/16 probes  | ETA 0.17h
INFO   [ 12/ 78] 283  16/16 probes  | ETA 0.17h
INFO   [ 13/ 78] 307  16/16 probes  | ETA 0.16h
INFO   [ 14/ 78] 331  16/16 probes  | ETA 0.16h
INFO   [ 15/ 78] 355  16/16 probes  | ETA 0.16h
INFO   [ 16/ 78] 379  16/16 probes  | ETA 0.16h
INFO   [ 17/ 78] 403  16/16 probes  | ETA 0.15h
INFO   [ 18/ 78] 427  16/16 probes  | ETA 0.15h
INFO   [ 19/ 78] 451  16/16 probes  | ETA 0.15h
INFO   [ 20/ 78] 475  16/16 probes  | ETA 0.15h
INFO   [ 21/ 78] 499  16/16 probes  | ETA 0.14h
INFO   [ 22/ 78] 523  16/16 probes  | ETA 0.14h
INFO   [ 23/ 78] 547  16/16 probes  | ETA 0.14h
INFO   [ 24/ 78] 571  16/16 probes  | ETA 0.14h
INFO   [ 25/ 78] 595  16/16 probes  | ETA 0.13h
INFO   [ 26/ 78] 619  16/16 probes  | ETA 0.13h
INFO   [ 27/ 78] 643  16/16 probes  | ETA 0.13h
INFO   [ 28/ 78] 667  16/16 probes  | ETA 0.13h
INFO   [ 29/ 78] 691  16/16 probes  | ETA 0.12h
INFO   [ 30/ 78] 715  16/16 probes  | ETA 0.12h
INFO   [ 31/ 78] 739  16/16 probes  | ETA 0.12h
INFO   [ 32/ 78] 763  16/16 probes  | ETA 0.12h
INFO   [ 33/ 78] 787  16/16 probes  | ETA 0.11h
INFO   [ 34/ 78] 811  16/16 probes  | ETA 0.11h
INFO   [ 35/ 78] 835  16/16 probes  | ETA 0.11h
INFO   [ 36/ 78] 859  16/16 probes  | ETA 0.11h
INFO   [ 37/ 78] 883  16/16 probes  | ETA 0.10h
INFO   [ 38/ 78] 907  16/16 probes  | ETA 0.10h
INFO   [ 39/ 78] 931  16/16 probes  | ETA 0.10h
INFO   [ 40/ 78] 955  16/16 probes  | ETA 0.10h
INFO   [ 41/ 78] 979  16/16 probes  | ETA 0.09h
INFO   [ 42/ 78] 1003  16/16 probes  | ETA 0.09h
INFO   [ 43/ 78] 1027  16/16 probes  | ETA 0.09h
INFO   [ 44/ 78] 1051  16/16 probes  | ETA 0.09h
INFO   [ 45/ 78] 1075  16/16 probes  | ETA 0.08h
INFO   [ 46/ 78] 1099  16/16 probes  | ETA 0.08h
INFO   [ 47/ 78] 1123  16/16 probes  | ETA 0.08h
INFO   [ 48/ 78] 1147  16/16 probes  | ETA 0.08h
INFO   [ 49/ 78] 1171  16/16 probes  | ETA 0.07h
INFO   [ 50/ 78] 1195  16/16 probes  | ETA 0.07h
INFO   [ 51/ 78] 1219  16/16 probes  | ETA 0.07h
INFO   [ 52/ 78] 1243  16/16 probes  | ETA 0.07h
INFO   [ 53/ 78] 1267  16/16 probes  | ETA 0.06h
INFO   [ 54/ 78] 1291  16/16 probes  | ETA 0.06h
INFO   [ 55/ 78] 1315  16/16 probes  | ETA 0.06h
INFO   [ 56/ 78] 1339  16/16 probes  | ETA 0.06h
INFO   [ 57/ 78] 1363  16/16 probes  | ETA 0.05h
INFO   [ 58/ 78] 1387  16/16 probes  | ETA 0.05h
INFO   [ 59/ 78] 1411  16/16 probes  | ETA 0.05h
INFO   [ 60/ 78] 1435  16/16 probes  | ETA 0.05h
INFO   [ 61/ 78] 1459  16/16 probes  | ETA 0.04h
INFO   [ 62/ 78] 1483  16/16 probes  | ETA 0.04h
INFO   [ 63/ 78] 1507  16/16 probes  | ETA 0.04h
INFO   [ 64/ 78] 1531  16/16 probes  | ETA 0.04h
INFO   [ 65/ 78] 1555  16/16 probes  | ETA 0.03h
INFO   [ 66/ 78] 1579  16/16 probes  | ETA 0.03h
INFO   [ 67/ 78] 1603  16/16 probes  | ETA 0.03h
INFO   [ 68/ 78] 1627  16/16 probes  | ETA 0.03h
INFO   [ 69/ 78] 1651  16/16 probes  | ETA 0.02h
INFO   [ 70/ 78] 1675  16/16 probes  | ETA 0.02h
INFO   [ 71/ 78] 1699  16/16 probes  | ETA 0.02h
INFO   [ 72/ 78] 1723  16/16 probes  | ETA 0.02h
INFO   [ 73/ 78] 1747  16/16 probes  | ETA 0.01h
INFO   [ 74/ 78] 1771  16/16 probes  | ETA 0.01h
INFO   [ 75/ 78] 1795  16/16 probes  | ETA 0.01h
INFO   [ 76/ 78] 1819  16/16 probes  | ETA 0.01h
INFO   [ 77/ 78] 1843  16/16 probes  | ETA 0.00h
INFO   [ 78/ 78] 1867  16/16 probes  | ETA 0.00h
INFO Done in 11.8 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/23_masktest/results/bdim_p3_all_19.jsonl
