INFO probing 20 lesions
INFO   [ 40/137] 0156  20/20  | ETA 0.21h
INFO   [ 41/137] 0160  20/20  | ETA 0.21h
INFO   [ 42/137] 0164  20/20  | ETA 0.21h
INFO   [ 43/137] 0168  20/20  | ETA 0.20h
INFO   [ 44/137] 0172  20/20  | ETA 0.20h
INFO   [ 45/137] 0176  20/20  | ETA 0.20h
INFO   [ 46/137] 0180  20/20  | ETA 0.20h
INFO   [ 47/137] 0184  20/20  | ETA 0.20h
INFO   [ 48/137] 0188  20/20  | ETA 0.19h
INFO   [ 49/137] 0192  20/20  | ETA 0.19h
INFO   [ 50/137] 0196  20/20  | ETA 0.19h
INFO   [ 51/137] 0200  20/20  | ETA 0.19h
INFO   [ 52/137] 0204  20/20  | ETA 0.18h
INFO   [ 53/137] 0208  20/20  | ETA 0.18h
INFO   [ 54/137] 0212  20/20  | ETA 0.18h
INFO   [ 55/137] 0216  20/20  | ETA 0.18h
INFO   [ 56/137] 0220  20/20  | ETA 0.18h
INFO   [ 57/137] 0224  20/20  | ETA 0.17h
INFO   [ 58/137] 0228  20/20  | ETA 0.17h
INFO   [ 59/137] 0232  20/20  | ETA 0.17h
INFO   [ 60/137] 0236  20/20  | ETA 0.17h
INFO   [ 61/137] 0240  20/20  | ETA 0.17h
INFO   [ 62/137] 0244  20/20  | ETA 0.16h
INFO   [ 63/137] 0248  20/20  | ETA 0.16h
INFO   [ 64/137] 0252  20/20  | ETA 0.16h
INFO   [ 65/137] 0256  20/20  | ETA 0.16h
INFO   [ 66/137] 0260  20/20  | ETA 0.15h
INFO   [ 67/137] 0264  20/20  | ETA 0.15h
INFO   [ 68/137] 0268  20/20  | ETA 0.15h
INFO   [ 69/137] 0272  20/20  | ETA 0.15h
INFO   [ 70/137] 0276  20/20  | ETA 0.15h
INFO   [ 71/137] 0280  20/20  | ETA 0.14h
INFO   [ 72/137] 0284  20/20  | ETA 0.14h
INFO   [ 73/137] 0288  20/20  | ETA 0.14h
INFO   [ 74/137] 0292  20/20  | ETA 0.14h
INFO   [ 75/137] 0296  20/20  | ETA 0.13h
INFO   [ 76/137] 0300  20/20  | ETA 0.13h
INFO   [ 77/137] 0304  20/20  | ETA 0.13h
INFO   [ 78/137] 0308  20/20  | ETA 0.13h
INFO   [ 79/137] 0312  20/20  | ETA 0.13h
INFO   [ 80/137] 0316  20/20  | ETA 0.12h
INFO   [ 81/137] 0320  20/20  | ETA 0.12h
INFO   [ 82/137] 0324  20/20  | ETA 0.12h
INFO   [ 83/137] 0328  20/20  | ETA 0.12h
INFO   [ 84/137] 0332  20/20  | ETA 0.12h
INFO   [ 85/137] 0336  20/20  | ETA 0.11h
INFO   [ 86/137] 0340  20/20  | ETA 0.11h
INFO   [ 87/137] 0344  20/20  | ETA 0.11h
INFO   [ 88/137] 0348  20/20  | ETA 0.11h
INFO   [ 89/137] 0352  20/20  | ETA 0.10h
INFO   [ 90/137] 0356  20/20  | ETA 0.10h
INFO   [ 91/137] 0360  20/20  | ETA 0.10h
INFO   [ 92/137] 0364  20/20  | ETA 0.10h
INFO   [ 93/137] 0368  20/20  | ETA 0.10h
INFO   [ 94/137] 0372  20/20  | ETA 0.09h
INFO   [ 95/137] 0376  20/20  | ETA 0.09h
INFO   [ 96/137] 0380  20/20  | ETA 0.09h
INFO   [ 97/137] 0384  20/20  | ETA 0.09h
INFO   [ 98/137] 0388  20/20  | ETA 0.08h
INFO   [ 99/137] 0392  20/20  | ETA 0.08h
INFO   [100/137] 0396  20/20  | ETA 0.08h
INFO   [101/137] 0400  20/20  | ETA 0.08h
INFO   [102/137] 0404  20/20  | ETA 0.08h
INFO   [103/137] 0408  20/20  | ETA 0.07h
INFO   [104/137] 0412  20/20  | ETA 0.07h
INFO   [105/137] 0416  20/20  | ETA 0.07h
INFO   [106/137] 0420  20/20  | ETA 0.07h
INFO   [107/137] 0424  20/20  | ETA 0.07h
INFO   [108/137] 0428  20/20  | ETA 0.06h
INFO   [109/137] 0432  20/20  | ETA 0.06h
INFO   [110/137] 0436  20/20  | ETA 0.06h
INFO   [111/137] 0440  20/20  | ETA 0.06h
INFO   [112/137] 0444  20/20  | ETA 0.05h
INFO   [113/137] 0448  20/20  | ETA 0.05h
INFO   [114/137] 0452  20/20  | ETA 0.05h
INFO   [115/137] 0456  20/20  | ETA 0.05h
INFO   [116/137] 0460  20/20  | ETA 0.05h
INFO   [117/137] 0464  20/20  | ETA 0.04h
INFO   [118/137] 0468  20/20  | ETA 0.04h
INFO   [119/137] 0472  20/20  | ETA 0.04h
INFO   [120/137] 0476  20/20  | ETA 0.04h
INFO   [121/137] 0480  20/20  | ETA 0.03h
INFO   [122/137] 0484  20/20  | ETA 0.03h
INFO   [123/137] 0488  20/20  | ETA 0.03h
INFO   [124/137] 0492  20/20  | ETA 0.03h
INFO   [125/137] 0496  20/20  | ETA 0.03h
INFO   [126/137] 0500  20/20  | ETA 0.02h
INFO   [127/137] 0504  20/20  | ETA 0.02h
INFO   [128/137] 0508  20/20  | ETA 0.02h
INFO   [129/137] 0512  20/20  | ETA 0.02h
INFO   [130/137] 0516  20/20  | ETA 0.02h
INFO   [131/137] 0520  20/20  | ETA 0.01h
INFO   [132/137] 0524  20/20  | ETA 0.01h
INFO   [133/137] 0528  20/20  | ETA 0.01h
INFO   [134/137] 0532  20/20  | ETA 0.01h
INFO   [135/137] 0536  20/20  | ETA 0.00h
INFO   [136/137] 0540  20/20  | ETA 0.00h
INFO   [137/137] 0544  20/20  | ETA 0.00h
INFO Done in 17.8 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/18_lesion/results/lesion_train_0.jsonl
