INFO probing 16 findings
INFO probes | brst shards=[2] | 32 samples (0 done)
INFO   [  1/ 32] 002  16/16 probes  | ETA 0.20h
INFO   [  2/ 32] 010  16/16 probes  | ETA 0.20h
INFO   [  3/ 32] 018  16/16 probes  | ETA 0.19h
INFO   [  4/ 32] 026  16/16 probes  | ETA 0.18h
INFO   [  5/ 32] 034  16/16 probes  | ETA 0.18h
INFO   [  6/ 32] 042  16/16 probes  | ETA 0.17h
INFO   [  7/ 32] 050  16/16 probes  | ETA 0.16h
INFO   [  8/ 32] 058  16/16 probes  | ETA 0.16h
INFO   [  9/ 32] 066  16/16 probes  | ETA 0.15h
INFO   [ 10/ 32] 074  16/16 probes  | ETA 0.15h
INFO   [ 11/ 32] 082  16/16 probes  | ETA 0.14h
INFO   [ 12/ 32] 090  16/16 probes  | ETA 0.13h
INFO   [ 13/ 32] 098  16/16 probes  | ETA 0.13h
INFO   [ 14/ 32] 106  16/16 probes  | ETA 0.12h
INFO   [ 15/ 32] 114  16/16 probes  | ETA 0.12h
INFO   [ 16/ 32] 122  16/16 probes  | ETA 0.11h
INFO   [ 17/ 32] 130  16/16 probes  | ETA 0.10h
INFO   [ 18/ 32] 138  16/16 probes  | ETA 0.10h
INFO   [ 19/ 32] 146  16/16 probes  | ETA 0.09h
INFO   [ 20/ 32] 154  16/16 probes  | ETA 0.08h
INFO   [ 21/ 32] 162  16/16 probes  | ETA 0.08h
INFO   [ 22/ 32] 170  16/16 probes  | ETA 0.07h
INFO   [ 23/ 32] 178  16/16 probes  | ETA 0.06h
INFO   [ 24/ 32] 186  16/16 probes  | ETA 0.06h
INFO   [ 25/ 32] 194  16/16 probes  | ETA 0.05h
INFO   [ 26/ 32] 202  16/16 probes  | ETA 0.04h
INFO   [ 27/ 32] 210  16/16 probes  | ETA 0.03h
INFO   [ 28/ 32] 218  16/16 probes  | ETA 0.03h
INFO   [ 29/ 32] 226  16/16 probes  | ETA 0.02h
INFO   [ 30/ 32] 234  16/16 probes  | ETA 0.01h
INFO   [ 31/ 32] 242  16/16 probes  | ETA 0.01h
INFO   [ 32/ 32] 250  16/16 probes  | ETA 0.00h
INFO Done in 13.6 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/16_external/results/brst_p2_brst_2.jsonl
INFO probing 16 findings
INFO probes | brst shards=[2] | 32 samples (0 done)
INFO   [  1/ 32] 002  16/16 probes  | ETA 0.11h
INFO   [  2/ 32] 010  16/16 probes  | ETA 0.10h
INFO   [  3/ 32] 018  16/16 probes  | ETA 0.10h
INFO   [  4/ 32] 026  16/16 probes  | ETA 0.10h
INFO   [  5/ 32] 034  16/16 probes  | ETA 0.09h
INFO   [  6/ 32] 042  16/16 probes  | ETA 0.09h
INFO   [  7/ 32] 050  16/16 probes  | ETA 0.09h
INFO   [  8/ 32] 058  16/16 probes  | ETA 0.08h
INFO   [  9/ 32] 066  16/16 probes  | ETA 0.08h
INFO   [ 10/ 32] 074  16/16 probes  | ETA 0.08h
INFO   [ 11/ 32] 082  16/16 probes  | ETA 0.07h
INFO   [ 12/ 32] 090  16/16 probes  | ETA 0.07h
INFO   [ 13/ 32] 098  16/16 probes  | ETA 0.07h
INFO   [ 14/ 32] 106  16/16 probes  | ETA 0.06h
INFO   [ 15/ 32] 114  16/16 probes  | ETA 0.06h
INFO   [ 16/ 32] 122  16/16 probes  | ETA 0.06h
INFO   [ 17/ 32] 130  16/16 probes  | ETA 0.05h
INFO   [ 18/ 32] 138  16/16 probes  | ETA 0.05h
INFO   [ 19/ 32] 146  16/16 probes  | ETA 0.04h
INFO   [ 20/ 32] 154  16/16 probes  | ETA 0.04h
INFO   [ 21/ 32] 162  16/16 probes  | ETA 0.04h
INFO   [ 22/ 32] 170  16/16 probes  | ETA 0.03h
INFO   [ 23/ 32] 178  16/16 probes  | ETA 0.03h
INFO   [ 24/ 32] 186  16/16 probes  | ETA 0.03h
INFO   [ 25/ 32] 194  16/16 probes  | ETA 0.02h
INFO   [ 26/ 32] 202  16/16 probes  | ETA 0.02h
INFO   [ 27/ 32] 210  16/16 probes  | ETA 0.02h
INFO   [ 28/ 32] 218  16/16 probes  | ETA 0.01h
INFO   [ 29/ 32] 226  16/16 probes  | ETA 0.01h
INFO   [ 30/ 32] 234  16/16 probes  | ETA 0.01h
INFO   [ 31/ 32] 242  16/16 probes  | ETA 0.00h
INFO   [ 32/ 32] 250  16/16 probes  | ETA 0.00h
INFO Done in 6.6 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/16_external/results/brst_p3_brst_2.jsonl
