INFO probing 16 findings
INFO probes | brst shards=[0] | 42 samples (0 done)
INFO   [  1/ 42] 000  16/16 probes  | ETA 0.41h
INFO   [  2/ 42] 006  16/16 probes  | ETA 0.33h
INFO   [  3/ 42] 012  16/16 probes  | ETA 0.30h
INFO   [  4/ 42] 018  16/16 probes  | ETA 0.28h
INFO   [  5/ 42] 024  16/16 probes  | ETA 0.27h
INFO   [  6/ 42] 030  16/16 probes  | ETA 0.25h
INFO   [  7/ 42] 036  16/16 probes  | ETA 0.24h
INFO   [  8/ 42] 042  16/16 probes  | ETA 0.24h
INFO   [  9/ 42] 048  16/16 probes  | ETA 0.23h
INFO   [ 10/ 42] 054  16/16 probes  | ETA 0.22h
INFO   [ 11/ 42] 060  16/16 probes  | ETA 0.21h
INFO   [ 12/ 42] 066  16/16 probes  | ETA 0.20h
INFO   [ 13/ 42] 072  16/16 probes  | ETA 0.20h
INFO   [ 14/ 42] 078  16/16 probes  | ETA 0.19h
INFO   [ 15/ 42] 084  16/16 probes  | ETA 0.18h
INFO   [ 16/ 42] 090  16/16 probes  | ETA 0.17h
INFO   [ 17/ 42] 096  16/16 probes  | ETA 0.17h
INFO   [ 18/ 42] 102  16/16 probes  | ETA 0.16h
INFO   [ 19/ 42] 108  16/16 probes  | ETA 0.15h
INFO   [ 20/ 42] 114  16/16 probes  | ETA 0.15h
INFO   [ 21/ 42] 120  16/16 probes  | ETA 0.14h
INFO   [ 22/ 42] 126  16/16 probes  | ETA 0.13h
INFO   [ 23/ 42] 132  16/16 probes  | ETA 0.13h
INFO   [ 24/ 42] 138  16/16 probes  | ETA 0.12h
INFO   [ 25/ 42] 144  16/16 probes  | ETA 0.11h
INFO   [ 26/ 42] 150  16/16 probes  | ETA 0.11h
INFO   [ 27/ 42] 156  16/16 probes  | ETA 0.10h
INFO   [ 28/ 42] 162  16/16 probes  | ETA 0.09h
INFO   [ 29/ 42] 168  16/16 probes  | ETA 0.09h
INFO   [ 30/ 42] 174  16/16 probes  | ETA 0.08h
INFO   [ 31/ 42] 180  16/16 probes  | ETA 0.07h
INFO   [ 32/ 42] 186  16/16 probes  | ETA 0.07h
INFO   [ 33/ 42] 192  16/16 probes  | ETA 0.06h
INFO   [ 34/ 42] 198  16/16 probes  | ETA 0.05h
INFO   [ 35/ 42] 204  16/16 probes  | ETA 0.05h
INFO   [ 36/ 42] 210  16/16 probes  | ETA 0.04h
INFO   [ 37/ 42] 216  16/16 probes  | ETA 0.03h
INFO   [ 38/ 42] 222  16/16 probes  | ETA 0.03h
INFO   [ 39/ 42] 228  16/16 probes  | ETA 0.02h
INFO   [ 40/ 42] 234  16/16 probes  | ETA 0.01h
INFO   [ 41/ 42] 240  16/16 probes  | ETA 0.01h
INFO   [ 42/ 42] 246  16/16 probes  | ETA 0.00h
INFO Done in 16.7 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/maskdim_p2_brst_0.jsonl
INFO probing 16 findings
INFO probes | brst shards=[0] | 42 samples (0 done)
INFO   [  1/ 42] 000  16/16 probes  | ETA 0.25h
INFO   [  2/ 42] 006  16/16 probes  | ETA 0.24h
INFO   [  3/ 42] 012  16/16 probes  | ETA 0.24h
INFO   [  4/ 42] 018  16/16 probes  | ETA 0.23h
INFO   [  5/ 42] 024  16/16 probes  | ETA 0.23h
INFO   [  6/ 42] 030  16/16 probes  | ETA 0.22h
INFO   [  7/ 42] 036  16/16 probes  | ETA 0.21h
INFO   [  8/ 42] 042  16/16 probes  | ETA 0.21h
INFO   [  9/ 42] 048  16/16 probes  | ETA 0.20h
INFO   [ 10/ 42] 054  16/16 probes  | ETA 0.19h
INFO   [ 11/ 42] 060  16/16 probes  | ETA 0.19h
INFO   [ 12/ 42] 066  16/16 probes  | ETA 0.18h
INFO   [ 13/ 42] 072  16/16 probes  | ETA 0.18h
INFO   [ 14/ 42] 078  16/16 probes  | ETA 0.17h
INFO   [ 15/ 42] 084  16/16 probes  | ETA 0.16h
INFO   [ 16/ 42] 090  16/16 probes  | ETA 0.16h
INFO   [ 17/ 42] 096  16/16 probes  | ETA 0.15h
INFO   [ 18/ 42] 102  16/16 probes  | ETA 0.15h
INFO   [ 19/ 42] 108  16/16 probes  | ETA 0.14h
INFO   [ 20/ 42] 114  16/16 probes  | ETA 0.13h
INFO   [ 21/ 42] 120  16/16 probes  | ETA 0.13h
INFO   [ 22/ 42] 126  16/16 probes  | ETA 0.12h
INFO   [ 23/ 42] 132  16/16 probes  | ETA 0.12h
INFO   [ 24/ 42] 138  16/16 probes  | ETA 0.11h
INFO   [ 25/ 42] 144  16/16 probes  | ETA 0.10h
INFO   [ 26/ 42] 150  16/16 probes  | ETA 0.10h
INFO   [ 27/ 42] 156  16/16 probes  | ETA 0.09h
INFO   [ 28/ 42] 162  16/16 probes  | ETA 0.08h
INFO   [ 29/ 42] 168  16/16 probes  | ETA 0.08h
INFO   [ 30/ 42] 174  16/16 probes  | ETA 0.07h
INFO   [ 31/ 42] 180  16/16 probes  | ETA 0.07h
INFO   [ 32/ 42] 186  16/16 probes  | ETA 0.06h
INFO   [ 33/ 42] 192  16/16 probes  | ETA 0.05h
INFO   [ 34/ 42] 198  16/16 probes  | ETA 0.05h
INFO   [ 35/ 42] 204  16/16 probes  | ETA 0.04h
INFO   [ 36/ 42] 210  16/16 probes  | ETA 0.04h
INFO   [ 37/ 42] 216  16/16 probes  | ETA 0.03h
INFO   [ 38/ 42] 222  16/16 probes  | ETA 0.02h
INFO   [ 39/ 42] 228  16/16 probes  | ETA 0.02h
INFO   [ 40/ 42] 234  16/16 probes  | ETA 0.01h
INFO   [ 41/ 42] 240  16/16 probes  | ETA 0.01h
INFO   [ 42/ 42] 246  16/16 probes  | ETA 0.00h
INFO Done in 15.3 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/maskdim_p3_brst_0.jsonl
