INFO probing 16 findings
INFO probes | brst shards=[4] | 42 samples (0 done)
INFO   [  1/ 42] 004  16/16 probes  | ETA 0.13h
INFO   [  2/ 42] 010  16/16 probes  | ETA 0.10h
INFO   [  3/ 42] 016  16/16 probes  | ETA 0.08h
INFO   [  4/ 42] 022  16/16 probes  | ETA 0.08h
INFO   [  5/ 42] 028  16/16 probes  | ETA 0.07h
INFO   [  6/ 42] 034  16/16 probes  | ETA 0.07h
INFO   [  7/ 42] 040  16/16 probes  | ETA 0.06h
INFO   [  8/ 42] 046  16/16 probes  | ETA 0.06h
INFO   [  9/ 42] 052  16/16 probes  | ETA 0.06h
INFO   [ 10/ 42] 058  16/16 probes  | ETA 0.06h
INFO   [ 11/ 42] 064  16/16 probes  | ETA 0.06h
INFO   [ 12/ 42] 070  16/16 probes  | ETA 0.05h
INFO   [ 13/ 42] 076  16/16 probes  | ETA 0.05h
INFO   [ 14/ 42] 082  16/16 probes  | ETA 0.05h
INFO   [ 15/ 42] 088  16/16 probes  | ETA 0.05h
INFO   [ 16/ 42] 094  16/16 probes  | ETA 0.05h
INFO   [ 17/ 42] 100  16/16 probes  | ETA 0.04h
INFO   [ 18/ 42] 106  16/16 probes  | ETA 0.04h
INFO   [ 19/ 42] 112  16/16 probes  | ETA 0.04h
INFO   [ 20/ 42] 118  16/16 probes  | ETA 0.04h
INFO   [ 21/ 42] 124  16/16 probes  | ETA 0.04h
INFO   [ 22/ 42] 130  16/16 probes  | ETA 0.03h
INFO   [ 23/ 42] 136  16/16 probes  | ETA 0.03h
INFO   [ 24/ 42] 142  16/16 probes  | ETA 0.03h
INFO   [ 25/ 42] 148  16/16 probes  | ETA 0.03h
INFO   [ 26/ 42] 154  16/16 probes  | ETA 0.03h
INFO   [ 27/ 42] 160  16/16 probes  | ETA 0.03h
INFO   [ 28/ 42] 166  16/16 probes  | ETA 0.02h
INFO   [ 29/ 42] 172  16/16 probes  | ETA 0.02h
INFO   [ 30/ 42] 178  16/16 probes  | ETA 0.02h
INFO   [ 31/ 42] 184  16/16 probes  | ETA 0.02h
INFO   [ 32/ 42] 190  16/16 probes  | ETA 0.02h
INFO   [ 33/ 42] 196  16/16 probes  | ETA 0.02h
INFO   [ 34/ 42] 202  16/16 probes  | ETA 0.01h
INFO   [ 35/ 42] 208  16/16 probes  | ETA 0.01h
INFO   [ 36/ 42] 214  16/16 probes  | ETA 0.01h
INFO   [ 37/ 42] 220  16/16 probes  | ETA 0.01h
INFO   [ 38/ 42] 226  16/16 probes  | ETA 0.01h
INFO   [ 39/ 42] 232  16/16 probes  | ETA 0.01h
INFO   [ 40/ 42] 238  16/16 probes  | ETA 0.00h
INFO   [ 41/ 42] 244  16/16 probes  | ETA 0.00h
INFO   [ 42/ 42] 250  16/16 probes  | ETA 0.00h
INFO Done in 4.2 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/maskdim_p2_brst_4.jsonl
INFO probing 16 findings
INFO probes | brst shards=[4] | 42 samples (0 done)
INFO   [  1/ 42] 004  16/16 probes  | ETA 0.06h
INFO   [  2/ 42] 010  16/16 probes  | ETA 0.06h
INFO   [  3/ 42] 016  16/16 probes  | ETA 0.06h
INFO   [  4/ 42] 022  16/16 probes  | ETA 0.05h
INFO   [  5/ 42] 028  16/16 probes  | ETA 0.05h
INFO   [  6/ 42] 034  16/16 probes  | ETA 0.05h
INFO   [  7/ 42] 040  16/16 probes  | ETA 0.05h
INFO   [  8/ 42] 046  16/16 probes  | ETA 0.05h
INFO   [  9/ 42] 052  16/16 probes  | ETA 0.05h
INFO   [ 10/ 42] 058  16/16 probes  | ETA 0.05h
INFO   [ 11/ 42] 064  16/16 probes  | ETA 0.04h
INFO   [ 12/ 42] 070  16/16 probes  | ETA 0.04h
INFO   [ 13/ 42] 076  16/16 probes  | ETA 0.04h
INFO   [ 14/ 42] 082  16/16 probes  | ETA 0.04h
INFO   [ 15/ 42] 088  16/16 probes  | ETA 0.04h
INFO   [ 16/ 42] 094  16/16 probes  | ETA 0.04h
INFO   [ 17/ 42] 100  16/16 probes  | ETA 0.04h
INFO   [ 18/ 42] 106  16/16 probes  | ETA 0.03h
INFO   [ 19/ 42] 112  16/16 probes  | ETA 0.03h
INFO   [ 20/ 42] 118  16/16 probes  | ETA 0.03h
INFO   [ 21/ 42] 124  16/16 probes  | ETA 0.03h
INFO   [ 22/ 42] 130  16/16 probes  | ETA 0.03h
INFO   [ 23/ 42] 136  16/16 probes  | ETA 0.03h
INFO   [ 24/ 42] 142  16/16 probes  | ETA 0.03h
INFO   [ 25/ 42] 148  16/16 probes  | ETA 0.02h
INFO   [ 26/ 42] 154  16/16 probes  | ETA 0.02h
INFO   [ 27/ 42] 160  16/16 probes  | ETA 0.02h
INFO   [ 28/ 42] 166  16/16 probes  | ETA 0.02h
INFO   [ 29/ 42] 172  16/16 probes  | ETA 0.02h
INFO   [ 30/ 42] 178  16/16 probes  | ETA 0.02h
INFO   [ 31/ 42] 184  16/16 probes  | ETA 0.02h
INFO   [ 32/ 42] 190  16/16 probes  | ETA 0.01h
INFO   [ 33/ 42] 196  16/16 probes  | ETA 0.01h
INFO   [ 34/ 42] 202  16/16 probes  | ETA 0.01h
INFO   [ 35/ 42] 208  16/16 probes  | ETA 0.01h
INFO   [ 36/ 42] 214  16/16 probes  | ETA 0.01h
INFO   [ 37/ 42] 220  16/16 probes  | ETA 0.01h
INFO   [ 38/ 42] 226  16/16 probes  | ETA 0.01h
INFO   [ 39/ 42] 232  16/16 probes  | ETA 0.00h
INFO   [ 40/ 42] 238  16/16 probes  | ETA 0.00h
INFO   [ 41/ 42] 244  16/16 probes  | ETA 0.00h
INFO   [ 42/ 42] 250  16/16 probes  | ETA 0.00h
INFO Done in 3.6 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/maskdim_p3_brst_4.jsonl
