INFO probing 16 findings
INFO probes | brst shards=[1] | 32 samples (0 done)
INFO   [  1/ 32] 001  16/16 probes  | ETA 0.19h
INFO   [  2/ 32] 009  16/16 probes  | ETA 0.16h
INFO   [  3/ 32] 017  16/16 probes  | ETA 0.15h
INFO   [  4/ 32] 025  16/16 probes  | ETA 0.14h
INFO   [  5/ 32] 033  16/16 probes  | ETA 0.13h
INFO   [  6/ 32] 041  16/16 probes  | ETA 0.13h
INFO   [  7/ 32] 049  16/16 probes  | ETA 0.12h
INFO   [  8/ 32] 057  16/16 probes  | ETA 0.11h
INFO   [  9/ 32] 065  16/16 probes  | ETA 0.11h
INFO   [ 10/ 32] 073  16/16 probes  | ETA 0.10h
INFO   [ 11/ 32] 081  16/16 probes  | ETA 0.10h
INFO   [ 12/ 32] 089  16/16 probes  | ETA 0.09h
INFO   [ 13/ 32] 097  16/16 probes  | ETA 0.09h
INFO   [ 14/ 32] 105  16/16 probes  | ETA 0.08h
INFO   [ 15/ 32] 113  16/16 probes  | ETA 0.08h
INFO   [ 16/ 32] 121  16/16 probes  | ETA 0.07h
INFO   [ 17/ 32] 129  16/16 probes  | ETA 0.07h
INFO   [ 18/ 32] 137  16/16 probes  | ETA 0.07h
INFO   [ 19/ 32] 145  16/16 probes  | ETA 0.06h
INFO   [ 20/ 32] 153  16/16 probes  | ETA 0.06h
INFO   [ 21/ 32] 161  16/16 probes  | ETA 0.05h
INFO   [ 22/ 32] 169  16/16 probes  | ETA 0.05h
INFO   [ 23/ 32] 177  16/16 probes  | ETA 0.04h
INFO   [ 24/ 32] 185  16/16 probes  | ETA 0.04h
INFO   [ 25/ 32] 193  16/16 probes  | ETA 0.03h
INFO   [ 26/ 32] 201  16/16 probes  | ETA 0.03h
INFO   [ 27/ 32] 209  16/16 probes  | ETA 0.02h
INFO   [ 28/ 32] 217  16/16 probes  | ETA 0.02h
INFO   [ 29/ 32] 225  16/16 probes  | ETA 0.01h
INFO   [ 30/ 32] 233  16/16 probes  | ETA 0.01h
INFO   [ 31/ 32] 241  16/16 probes  | ETA 0.00h
INFO   [ 32/ 32] 249  16/16 probes  | ETA 0.00h
INFO Done in 8.9 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/pad125_p2_brst_1.jsonl
INFO probing 16 findings
INFO probes | brst shards=[1] | 32 samples (0 done)
INFO   [  1/ 32] 001  16/16 probes  | ETA 0.14h
INFO   [  2/ 32] 009  16/16 probes  | ETA 0.14h
INFO   [  3/ 32] 017  16/16 probes  | ETA 0.14h
INFO   [  4/ 32] 025  16/16 probes  | ETA 0.13h
INFO   [  5/ 32] 033  16/16 probes  | ETA 0.13h
INFO   [  6/ 32] 041  16/16 probes  | ETA 0.12h
INFO   [  7/ 32] 049  16/16 probes  | ETA 0.12h
INFO   [  8/ 32] 057  16/16 probes  | ETA 0.11h
INFO   [  9/ 32] 065  16/16 probes  | ETA 0.11h
INFO   [ 10/ 32] 073  16/16 probes  | ETA 0.10h
INFO   [ 11/ 32] 081  16/16 probes  | ETA 0.10h
INFO   [ 12/ 32] 089  16/16 probes  | ETA 0.09h
INFO   [ 13/ 32] 097  16/16 probes  | ETA 0.09h
INFO   [ 14/ 32] 105  16/16 probes  | ETA 0.08h
INFO   [ 15/ 32] 113  16/16 probes  | ETA 0.08h
INFO   [ 16/ 32] 121  16/16 probes  | ETA 0.07h
INFO   [ 17/ 32] 129  16/16 probes  | ETA 0.07h
INFO   [ 18/ 32] 137  16/16 probes  | ETA 0.07h
INFO   [ 19/ 32] 145  16/16 probes  | ETA 0.06h
INFO   [ 20/ 32] 153  16/16 probes  | ETA 0.06h
INFO   [ 21/ 32] 161  16/16 probes  | ETA 0.05h
INFO   [ 22/ 32] 169  16/16 probes  | ETA 0.05h
INFO   [ 23/ 32] 177  16/16 probes  | ETA 0.04h
INFO   [ 24/ 32] 185  16/16 probes  | ETA 0.04h
INFO   [ 25/ 32] 193  16/16 probes  | ETA 0.03h
INFO   [ 26/ 32] 201  16/16 probes  | ETA 0.03h
INFO   [ 27/ 32] 209  16/16 probes  | ETA 0.02h
INFO   [ 28/ 32] 217  16/16 probes  | ETA 0.02h
INFO   [ 29/ 32] 225  16/16 probes  | ETA 0.01h
INFO   [ 30/ 32] 233  16/16 probes  | ETA 0.01h
INFO   [ 31/ 32] 241  16/16 probes  | ETA 0.00h
INFO   [ 32/ 32] 249  16/16 probes  | ETA 0.00h
INFO Done in 8.8 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/pad125_p3_brst_1.jsonl
