INFO probing 16 findings
INFO probes | brst shards=[0] | 32 samples (0 done)
INFO   [  1/ 32] 000  16/16 probes  | ETA 0.22h
INFO   [  2/ 32] 008  16/16 probes  | ETA 0.20h
INFO   [  3/ 32] 016  16/16 probes  | ETA 0.18h
INFO   [  4/ 32] 024  16/16 probes  | ETA 0.17h
INFO   [  5/ 32] 032  16/16 probes  | ETA 0.17h
INFO   [  6/ 32] 040  16/16 probes  | ETA 0.16h
INFO   [  7/ 32] 048  16/16 probes  | ETA 0.15h
INFO   [  8/ 32] 056  16/16 probes  | ETA 0.15h
INFO   [  9/ 32] 064  16/16 probes  | ETA 0.14h
INFO   [ 10/ 32] 072  16/16 probes  | ETA 0.13h
INFO   [ 11/ 32] 080  16/16 probes  | ETA 0.13h
INFO   [ 12/ 32] 088  16/16 probes  | ETA 0.12h
INFO   [ 13/ 32] 096  16/16 probes  | ETA 0.12h
INFO   [ 14/ 32] 104  16/16 probes  | ETA 0.11h
INFO   [ 15/ 32] 112  16/16 probes  | ETA 0.10h
INFO   [ 16/ 32] 120  16/16 probes  | ETA 0.10h
INFO   [ 17/ 32] 128  16/16 probes  | ETA 0.09h
INFO   [ 18/ 32] 136  16/16 probes  | ETA 0.09h
INFO   [ 19/ 32] 144  16/16 probes  | ETA 0.08h
INFO   [ 20/ 32] 152  16/16 probes  | ETA 0.07h
INFO   [ 21/ 32] 160  16/16 probes  | ETA 0.07h
INFO   [ 22/ 32] 168  16/16 probes  | ETA 0.06h
INFO   [ 23/ 32] 176  16/16 probes  | ETA 0.05h
INFO   [ 24/ 32] 184  16/16 probes  | ETA 0.05h
INFO   [ 25/ 32] 192  16/16 probes  | ETA 0.04h
INFO   [ 26/ 32] 200  16/16 probes  | ETA 0.04h
INFO   [ 27/ 32] 208  16/16 probes  | ETA 0.03h
INFO   [ 28/ 32] 216  16/16 probes  | ETA 0.02h
INFO   [ 29/ 32] 224  16/16 probes  | ETA 0.02h
INFO   [ 30/ 32] 232  16/16 probes  | ETA 0.01h
INFO   [ 31/ 32] 240  16/16 probes  | ETA 0.01h
INFO   [ 32/ 32] 248  16/16 probes  | ETA 0.00h
INFO Done in 11.7 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/pad30_p2_brst_0.jsonl
INFO probing 16 findings
INFO probes | brst shards=[0] | 32 samples (0 done)
INFO   [  1/ 32] 000  16/16 probes  | ETA 0.20h
INFO   [  2/ 32] 008  16/16 probes  | ETA 0.19h
INFO   [  3/ 32] 016  16/16 probes  | ETA 0.18h
INFO   [  4/ 32] 024  16/16 probes  | ETA 0.18h
INFO   [  5/ 32] 032  16/16 probes  | ETA 0.17h
INFO   [  6/ 32] 040  16/16 probes  | ETA 0.16h
INFO   [  7/ 32] 048  16/16 probes  | ETA 0.16h
INFO   [  8/ 32] 056  16/16 probes  | ETA 0.15h
INFO   [  9/ 32] 064  16/16 probes  | ETA 0.14h
INFO   [ 10/ 32] 072  16/16 probes  | ETA 0.14h
INFO   [ 11/ 32] 080  16/16 probes  | ETA 0.13h
INFO   [ 12/ 32] 088  16/16 probes  | ETA 0.12h
INFO   [ 13/ 32] 096  16/16 probes  | ETA 0.12h
INFO   [ 14/ 32] 104  16/16 probes  | ETA 0.11h
INFO   [ 15/ 32] 112  16/16 probes  | ETA 0.11h
INFO   [ 16/ 32] 120  16/16 probes  | ETA 0.10h
INFO   [ 17/ 32] 128  16/16 probes  | ETA 0.09h
INFO   [ 18/ 32] 136  16/16 probes  | ETA 0.09h
INFO   [ 19/ 32] 144  16/16 probes  | ETA 0.08h
INFO   [ 20/ 32] 152  16/16 probes  | ETA 0.07h
INFO   [ 21/ 32] 160  16/16 probes  | ETA 0.07h
INFO   [ 22/ 32] 168  16/16 probes  | ETA 0.06h
INFO   [ 23/ 32] 176  16/16 probes  | ETA 0.06h
INFO   [ 24/ 32] 184  16/16 probes  | ETA 0.05h
INFO   [ 25/ 32] 192  16/16 probes  | ETA 0.04h
INFO   [ 26/ 32] 200  16/16 probes  | ETA 0.04h
INFO   [ 27/ 32] 208  16/16 probes  | ETA 0.03h
INFO   [ 28/ 32] 216  16/16 probes  | ETA 0.02h
INFO   [ 29/ 32] 224  16/16 probes  | ETA 0.02h
INFO   [ 30/ 32] 232  16/16 probes  | ETA 0.01h
INFO   [ 31/ 32] 240  16/16 probes  | ETA 0.01h
INFO   [ 32/ 32] 248  16/16 probes  | ETA 0.00h
INFO Done in 11.6 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/pad30_p3_brst_0.jsonl
